report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,full_address
20201605,2020-03-04 00:14:00,834,3500, ,FAIRMOUNT,AVENUE, , , ,22107,VC,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,,"3500   FAIRMOUNT AVENUE San Diego, California"
20201606,2020-03-04 06:25:00,325,6700, ,CAMINITO DEL GRECO, , , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,,"6700   CAMINITO DEL GRECO   San Diego, California"
20201793,2020-03-04 13:30:00,232,10100, ,RANCHO CARMEL,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,"10100   RANCHO CARMEL DRIVE San Diego, California"
20201617,2020-03-04 13:30:00,311,2400, ,MURRAY RIDGE,ROAD, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),0,0,,"2400   MURRAY RIDGE ROAD San Diego, California"
20201618,2020-03-04 14:50:00,313,5100, ,CONVOY,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,,"5100   CONVOY STREET San Diego, California"
20201619,2020-03-04 15:21:00,814,3800, ,ADAMS,AVENUE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"3800   ADAMS AVENUE San Diego, California"
20201623,2020-03-04 16:39:00,527,1900, ,PACIFIC,HIGHWAY, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),0,0,,"1900   PACIFIC HIGHWAY San Diego, California"
20013491,2020-03-04 17:56:00,931,6400, ,MIRA MESA,BOULEVARD, , , ,21658A,VC,LANE USAGE:UNSAFE LANE CHANGE (I),0,0,MISDEMEANOR,"6400   MIRA MESA BOULEVARD San Diego, California"
20201653,2020-03-04 17:57:00,446,4700, ,IMPERIAL,AVENUE, , , ,21703,VC,FOLLOWING TOO CLOSELY (I),1,0,,"4700   IMPERIAL AVENUE San Diego, California"
20201622,2020-03-04 18:35:26,813,3100, ,EL CAJON,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"3100   EL CAJON BOULEVARD San Diego, California"
